state,account length,international plan,voice mail plan,number vmail messages,total day calls,total day charge,total eve calls,total eve charge,total night calls,total night charge,total intl calls,total intl charge,number customer service calls,move
11,0.4219409282700422,0,0,0.0,0.7063492063492064,0.18639154160982263,0.26717557251908397,0.5625000000000001,0.4294117647058823,0.6185206755969713,0.15789473684210525,0.537593984962406,0.42857142857142855,1
26,0.5738396624472574,0,0,0.0,0.4126984126984127,0.6290927694406548,0.7709923664122137,0.6602653631284916,0.4764705882352941,0.2469423412929528,0.3684210526315789,0.4830827067669172,0.0,0
35,0.43037974683544306,0,1,0.5576923076923077,0.48412698412698413,0.8352660300136426,0.5114503816793893,0.6379189944134079,0.7470588235294118,0.7868375072801397,0.3157894736842105,0.6954887218045113,0.14285714285714285,0
32,0.41350210970464135,0,0,0.0,0.7063492063492064,0.609481582537517,0.3816793893129771,0.30865921787709494,0.4823529411764706,0.5783343040186371,0.10526315789473684,0.7969924812030075,0.14285714285714285,0
40,0.45147679324894513,0,0,0.0,0.3492063492063492,0.5532060027285131,0.48091603053435117,0.30167597765363124,0.6294117647058823,0.5358182877111239,0.21052631578947367,0.39097744360902253,0.2857142857142857,0
12,0.48945147679324896,0,0,0.0,0.40476190476190477,0.637619372442019,0.22900763358778625,0.35405027932960886,0.5294117647058824,0.5847408270238788,0.2631578947368421,0.34962406015037595,0.14285714285714285,0
28,0.2616033755274262,0,1,0.6153846153846154,0.7142857142857143,0.6154502046384721,0.6641221374045801,0.5698324022346368,0.7058823529411765,0.6820034944670937,0.15789473684210525,0.6541353383458646,0.14285714285714285,0
18,0.3924050632911392,0,0,0.0,0.5,0.43758526603001363,0.5648854961832062,0.5998603351955307,0.6235294117647059,0.8147932440302853,0.3157894736842105,0.5639097744360902,0.0,0
24,0.5780590717299579,0,0,0.0,0.6587301587301587,0.23925648021828105,0.061068702290076333,0.3100558659217877,0.4176470588235294,0.4991263832265579,0.21052631578947367,0.5018796992481203,0.2857142857142857,0
43,0.5358649789029536,0,1,0.8269230769230769,0.5238095238095238,0.496418826739427,0.3893129770992366,0.37081005586592175,0.5411764705882353,0.5090273733255678,0.05263157894736842,0.6033834586466165,0.0,0
2,0.47257383966244726,0,1,0.75,0.3412698412698413,0.5891882673942702,0.3969465648854962,0.4207402234636871,0.5882352941176471,0.4187536400698893,0.21052631578947367,0.4567669172932331,0.14285714285714285,0
43,0.5864978902953587,0,0,0.0,0.5952380952380952,0.2510231923601637,0.5954198473282443,0.5202513966480447,0.5529411764705883,0.5760046592894583,0.10526315789473684,0.5338345864661653,0.14285714285714285,0
21,0.42616033755274263,0,0,0.0,0.4126984126984127,0.6422237380627559,0.45038167938931295,0.3966480446927374,0.7294117647058823,0.5975538730343621,0.47368421052631576,0.537593984962406,0.14285714285714285,0
28,0.45147679324894513,0,0,0.0,0.4126984126984127,0.3072987721691678,0.48091603053435117,0.27479050279329603,0.7,0.46592894583576,0.3157894736842105,0.3646616541353383,0.42857142857142855,1
8,0.2489451476793249,0,0,0.0,0.3412698412698413,0.581855388813097,0.5114503816793893,0.5506284916201117,0.5235294117647059,0.2836342457775189,0.2631578947368421,0.6541353383458646,0.14285714285714285,0
23,0.4008438818565401,0,0,0.0,0.46825396825396826,0.584242837653479,0.5267175572519084,0.4951117318435753,0.5294117647058824,0.7326732673267327,0.10526315789473684,0.37593984962406013,0.14285714285714285,0
